Time,AUD,CAD,CNY,EUR,GBP,JPY,KRW,PLN,USD,others
2014-09-26 00:00:00 UTC,1945.84401363,2143.13612954,137454.854700001,4796.76185941,2254.76838649,1777.9149471,223.70880017,587.96508913,43861.16439989,7971.206081080001
2014-09-27 00:00:00 UTC,992.39903747,1095.64943349,86422.8988999998,1886.2401749,1190.66172742,911.22040798,61.81743172,443.02303543,28557.28574038,4193.57008141
2014-09-28 00:00:00 UTC,471.53677711,755.65955641,134129.108900001,3314.03084496,1051.64924578,407.45244484,260.2500633,555.12228413,57851.69070106,2090.6504686900003
2014-09-29 00:00:00 UTC,1414.56027693,1736.51304188,182987.856600001,4915.92441244,1776.73104864,1075.7120294,239.6691215,765.36653018,73069.16896935,5288.73132731
2014-09-30 00:00:00 UTC,1588.66062318,1747.57435853,170851.7481,4564.69682854,1908.39180308,1291.1970642,267.08460471,678.40177642,69852.73270449,6034.3438125799985
2014-10-01 00:00:00 UTC,604.80981328,627.7073917,137778.5601,3863.92295207,1042.70427251,325.79377251,241.78473089,649.67199568,52573.1187545,1951.9934132699998
2014-10-02 00:00:00 UTC,954.37468299,944.26763908,100549.7396,3865.56047067,1265.46850931,752.96753752,157.11241014,660.79525507,43247.407022,3710.13322769
2014-10-03 00:00:00 UTC,1540.83793942,2020.89822375,125714.5644,4417.77610886,1905.37194943,1325.83194304,178.84517017,866.40212772,71690.89882038,6195.6812758099995
2014-10-04 00:00:00 UTC,619.37962785,1789.39497463,270557.132100004,4970.5352927,1060.3194357,511.9254357,275.30353606,1045.92675782,108551.0021073,2958.6783534199994
2014-10-05 00:00:00 UTC,631.12884137,1441.10554601,412575.102900011,11322.58417167,1133.59037594,554.84287121,482.96007908,1573.59743535,202592.483443931,3046.76990832
2014-10-06 00:00:00 UTC,1007.028672,1357.10826667,446212.82800001,8878.86746479,1739.3228888,804.73231606,260.95854674,1086.68377648,193278.12233471,4508.481660459999
2014-10-07 00:00:00 UTC,1712.16441366,1891.36959994,322006.025600005,5240.65833277,2209.41187477,1396.13707651,386.5105946,965.82354282,103251.2123319,6478.78028301
2014-10-08 00:00:00 UTC,1052.51331795,1248.44454609,346778.245100009,5309.85538747,1411.21470633,665.40640633,589.67984406,921.49657643,108577.54462252,3602.85403392
2014-10-09 00:00:00 UTC,1328.74822611,1943.98538971,458470.026700013,9156.95131211,2233.56530749,1024.21415912,456.44723353,1789.93120921,163489.3158605,5148.43093276
2014-10-10 00:00:00 UTC,1282.86141947,1510.01817661,342958.258900009,4682.44570643,1511.65651253,1093.78717471,441.13686087,835.47112245,93511.58706719,5013.37484854
2014-10-11 00:00:00 UTC,799.56258932,998.70140803,289542.759300006,2866.30185689,929.57024592,700.64372274,264.60136537,378.14825279,48225.94641894,3153.0933928500003
2014-10-12 00:00:00 UTC,1082.46982713,913.03078596,207543.147200004,3027.25269354,929.85492416,631.00279416,90.37642777,431.58891118,55600.48110047,3039.1429235499995
2014-10-13 00:00:00 UTC,1782.32187087,2013.14791621,341839.678200008,5903.51063607,2121.6761933,1575.21025713,345.79701297,797.87792236,108434.7364315,7062.92464235
2014-10-14 00:00:00 UTC,1650.12061202,2080.37546489,424594.168700012,6016.22111871,2102.17426198,1280.45348227,516.51357719,1201.86429174,118420.10193853,6195.139158880002
2014-10-15 00:00:00 UTC,1902.21333112,1942.56314435,274000.345700006,5157.14560222,1907.53952041,1385.85623436,266.22040699,821.55174211,93715.7334760301,6287.65275462
2014-10-16 00:00:00 UTC,2446.18542664,2713.17946031,282548.660600004,6513.94715945,2756.6559787,2144.19798095,260.75036778,865.14447722,86103.1313662101,9488.592024010004
2014-10-17 00:00:00 UTC,2149.76942618,2437.38941793,247237.079300001,4111.71146827,2358.00931833,1900.31221492,145.26882515,674.38750404,51477.97437971,8207.060599949999
2014-10-18 00:00:00 UTC,617.25796633,797.7736616,302786.616800006,2969.8625902,838.62551767,548.58599767,101.38994595,312.34811253,35690.2268507,2724.6576865699994
2014-10-19 00:00:00 UTC,126.74926352,200.79810199,218237.190700003,1791.55754124,291.11459237,39.08660983,32.4378692,218.03050358,18089.25577399,525.19131327
2014-10-20 00:00:00 UTC,1624.12215982,1578.41431077,197217.858900002,4158.7142792,1939.31135209,1292.51917474,170.48175326,338.68160694,51735.0146191701,5995.74635585
2014-10-21 00:00:00 UTC,1258.54393608,1205.48432143,197423.471700002,3799.57889014,1645.456654,911.91497,149.13519047,377.0871054,42288.58289204,4374.71204787
2014-10-22 00:00:00 UTC,1265.96887914,1294.67444966,136829.4813,3538.55265928,1729.85622968,1034.3533951,74.25022362,465.79183544,36863.926677085,4697.801647699999
2014-10-23 00:00:00 UTC,1039.30474518,1621.66901353,289465.164000005,5274.08806489,1598.399899,786.74542339,249.81414805,913.85272263,84224.29077024,4028.8304887900003
